scenario,freq_hz,SLL_p5,SLL_p50,SLL_p95,SLL_worst,SLL_fail_pct,WNG_p5,WNG_p50,WNG_p95,WNG_worst,BW_p50,BW_p95,BW_max,BW_fail_pct
S1_16indep_iso,500,-60.0,-60.0,-60.0,-60.0,0.0,11.8,11.84,11.88,11.76,60.7,61.82,62.78,100.0
S1_16indep_iso,1000,-19.9,-18.67,-17.41,-16.18,0.0,11.8,11.84,11.88,11.75,29.27,29.76,30.3,0.6
S1_16indep_iso,2000,-19.31,-18.28,-17.16,-16.13,0.0,11.8,11.84,11.88,11.75,14.52,14.75,14.99,0.0
S1_16indep_iso,4000,-18.9,-17.94,-16.96,-15.77,0.1,11.8,11.84,11.88,11.76,7.24,7.37,7.5,0.0
S2_16indep_cos,500,-39.75,-35.65,-32.51,-30.15,0.0,11.8,11.84,11.88,11.75,55.28,56.09,57.06,100.0
S2_16indep_cos,1000,-22.76,-20.98,-19.31,-17.96,0.0,11.8,11.84,11.88,11.76,28.66,29.13,29.64,0.0
S2_16indep_cos,2000,-20.51,-19.31,-17.97,-16.79,0.0,11.8,11.84,11.88,11.76,14.44,14.68,14.92,0.0
S2_16indep_cos,4000,-19.63,-18.6,-17.52,-16.3,0.0,11.8,11.84,11.88,11.76,7.23,7.36,7.48,0.0
S3_8pair_iso,500,-60.0,-60.0,-60.0,-60.0,0.0,11.77,11.84,11.9,11.71,60.69,62.38,64.02,100.0
S3_8pair_iso,1000,-20.33,-18.7,-17.01,-15.8,0.23,11.77,11.83,11.89,11.71,29.28,30.03,30.63,5.8
S3_8pair_iso,2000,-19.52,-18.12,-16.75,-15.63,0.47,11.77,11.84,11.89,11.72,14.52,14.88,15.19,0.0
S3_8pair_iso,4000,-19.01,-17.76,-16.54,-15.54,0.57,11.77,11.84,11.9,11.71,7.25,7.43,7.59,0.0
S4_8pair_cos,500,-43.48,-36.11,-31.84,-29.03,0.0,11.77,11.84,11.9,11.7,55.28,56.48,57.51,100.0
S4_8pair_cos,1000,-23.95,-21.2,-19.11,-17.14,0.0,11.77,11.84,11.89,11.71,28.67,29.34,30.08,0.03
S4_8pair_cos,2000,-20.88,-19.27,-17.64,-16.13,0.0,11.77,11.84,11.9,11.72,14.44,14.8,15.16,0.0
S4_8pair_cos,4000,-19.83,-18.45,-17.11,-15.65,0.13,11.77,11.84,11.9,11.72,7.23,7.41,7.56,0.0
